,Date,Open,High,Low,Close,Volume
558,2022-03-29,114.4,115.0,113.11,113.27,749914.0
559,2022-03-30,113.98,114.5,113.0,113.63,100466.0
560,2022-03-31,113.99,114.0,112.6,112.91,734793.0
561,2022-04-01,112.6,114.5,111.9,113.91,1802294.0
562,2022-04-04,112.01,113.0,108.99,109.36,720783.0
563,2022-04-05,109.51,110.7,109.02,109.56,477499.0
564,2022-04-06,109.56,110.87,109.5,109.8,848481.0
565,2022-04-07,109.82,110.74,108.9,109.03,369037.0
566,2022-04-08,110.99,112.3,110.56,111.54,990236.0
567,2022-04-11,113.8,118.0,112.1,115.72,2207391.0
568,2022-04-12,116.0,119.0,115.72,116.36,703976.0
569,2022-04-13,116.36,116.99,115.6,116.11,645792.0
570,2022-04-14,116.2,116.8,115.61,116.05,1093663.0
571,2022-04-15,116.3,116.44,115.65,116.25,191033.0
572,2022-04-18,116.89,116.89,115.0,115.55,1195300.0
573,2022-04-19,115.1,116.32,114.5,114.95,687019.0
574,2022-04-20,115.07,115.9,110.0,111.06,982556.0
575,2022-04-21,111.5,112.87,110.71,111.32,768991.0
576,2022-04-22,112.0,112.0,110.57,111.31,430165.0
577,2022-04-25,111.52,113.0,111.52,112.31,430122.0
578,2022-04-26,113.49,113.49,111.5,111.79,913201.0
579,2022-04-27,111.45,111.5,109.0,109.73,633532.0
580,2022-04-28,111.5,111.5,108.0,108.85,1643917.0
581,2022-05-06,109.97,109.97,106.16,107.03,314657.0
582,2022-05-09,108.0,108.0,102.5,102.92,1731876.0
583,2022-05-10,101.51,105.97,101.51,102.16,288350.0
584,2022-05-11,103.99,103.99,100.5,102.27,1093343.0
585,2022-05-12,103.91,103.91,101.11,102.0,508998.0
586,2022-05-13,102.0,103.48,101.0,102.77,321289.0
587,2022-05-16,102.5,102.5,99.75,100.94,10735709.0
588,2022-05-17,101.8,102.35,100.15,101.71,1015919.0
589,2022-05-18,101.99,103.2,101.31,102.17,478743.0
590,2022-05-19,102.98,102.98,101.0,101.43,573923.0
591,2022-05-20,101.01,102.3,101.0,102.09,1150428.0
592,2022-05-23,102.1,103.24,100.2,102.06,579563.0
